Stage,Concept_A,Concept_B,Normalized_Strength,Previous_Strength,Change,Status
Birds_Journey,راه,عشق,0.03873,0.0,0.03873,Emerging
Seven_Valleys,راه,عشق,0.027114,0.03873,-0.011616,Weakening
Simurgh_Encounter,راه,عشق,0.0,0.027114,-0.027114,Weakening
Final_State,راه,عشق,0.0,0.0,0.0,Stable
Opening,راه,عقل,0.028214,0.0,0.028214,Emerging
Birds_Journey,راه,عقل,0.005604,0.028214,-0.02261,Weakening
Seven_Valleys,راه,عقل,0.012912,0.005604,0.007308,Strengthening
Simurgh_Encounter,راه,عقل,0.0,0.012912,-0.012912,Weakening
Final_State,راه,عقل,0.0,0.0,0.0,Stable
Opening,راه,فنا,0.0,0.0,0.0,Stable
Birds_Journey,راه,فنا,0.0,0.0,0.0,Stable
Seven_Valleys,راه,فنا,0.0,0.0,0.0,Stable
Simurgh_Encounter,راه,فنا,0.013674,0.0,0.013674,Emerging
Final_State,راه,فنا,0.0,0.013674,-0.013674,Weakening
Opening,راه,محو,0.0,0.0,0.0,Stable
Birds_Journey,راه,محو,0.003113,0.0,0.003113,Emerging
Seven_Valleys,راه,محو,0.00807,0.003113,0.004957,Strengthening
Simurgh_Encounter,راه,محو,0.03464,0.00807,0.02657,Strengthening
Final_State,راه,محو,0.0,0.03464,-0.03464,Weakening
Opening,راه,مرغ,0.0,0.0,0.0,Stable
Birds_Journey,راه,مرغ,0.005853,0.0,0.005853,Emerging
Seven_Valleys,راه,مرغ,0.0,0.005853,-0.005853,Weakening
Simurgh_Encounter,راه,مرغ,0.020966,0.0,0.020966,Emerging
Final_State,راه,مرغ,0.0,0.020966,-0.020966,Weakening
Opening,راه,نفس,0.012898,0.0,0.012898,Emerging
Birds_Journey,راه,نفس,0.030511,0.012898,0.017613,Strengthening
Seven_Valleys,راه,نفس,0.014526,0.030511,-0.015985,Weakening
Simurgh_Encounter,راه,نفس,0.0,0.014526,-0.014526,Weakening
Final_State,راه,نفس,0.0,0.0,0.0,Stable
Opening,راه,پاک,0.015719,0.0,0.015719,Emerging
Birds_Journey,راه,پاک,0.023163,0.015719,0.007444,Strengthening
Seven_Valleys,راه,پاک,0.019045,0.023163,-0.004118,Weakening
Simurgh_Encounter,راه,پاک,0.0,0.019045,-0.019045,Weakening
Final_State,راه,پاک,0.059361,0.0,0.059361,Emerging
Opening,سیمرغ,عشق,0.0,0.0,0.0,Stable
Birds_Journey,سیمرغ,عشق,0.010834,0.0,0.010834,Emerging
Seven_Valleys,سیمرغ,عشق,0.0,0.010834,-0.010834,Weakening
Simurgh_Encounter,سیمرغ,عشق,0.0,0.0,0.0,Stable
Final_State,سیمرغ,عشق,0.0,0.0,0.0,Stable
Opening,سیمرغ,مرغ,0.0,0.0,0.0,Stable
Birds_Journey,سیمرغ,مرغ,0.004732,0.0,0.004732,Emerging
Seven_Valleys,سیمرغ,مرغ,0.0,0.004732,-0.004732,Weakening
Simurgh_Encounter,سیمرغ,مرغ,0.041933,0.0,0.041933,Emerging
Final_State,سیمرغ,مرغ,0.0,0.041933,-0.041933,Weakening
Opening,طلب,عشق,0.0,0.0,0.0,Stable
Birds_Journey,طلب,عشق,0.002242,0.0,0.002242,Emerging
Seven_Valleys,طلب,عشق,0.007101,0.002242,0.004859,Strengthening
Simurgh_Encounter,طلب,عشق,0.0,0.007101,-0.007101,Weakening
Final_State,طلب,عشق,0.0,0.0,0.0,Stable
Opening,طلب,نفس,0.007255,0.0,0.007255,Emerging
Birds_Journey,طلب,نفس,0.001993,0.007255,-0.005262,Weakening
Seven_Valleys,طلب,نفس,0.0,0.001993,-0.001993,Weakening
Simurgh_Encounter,طلب,نفس,0.0,0.0,0.0,Stable
Final_State,طلب,نفس,0.0,0.0,0.0,Stable
Opening,طلب,پاک,0.011286,0.0,0.011286,Emerging
Birds_Journey,طلب,پاک,0.0,0.011286,-0.011286,Weakening
Seven_Valleys,طلب,پاک,0.006779,0.0,0.006779,Emerging
Simurgh_Encounter,طلب,پاک,0.0,0.006779,-0.006779,Weakening
Final_State,طلب,پاک,0.0,0.0,0.0,Stable
Opening,عشق,عقل,0.0,0.0,0.0,Stable
